PID     Executable Path                                                                                                                                                                  
21609   /usr/libexec/gamecontrollerd                                                                                                                                                     
21613   /System/Library/PrivateFrameworks/MediaMLServices.framework/XPCServices/mediamlxpc.xpc/mediamlxpc                                                                                
21650   /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd                                                                                                      
21928   /usr/libexec/photosfaced                                                                                                                                                         
22004   /usr/sbin/WirelessRadioManagerd                                                                                                                                                  
22051   /System/Library/PrivateFrameworks/EyeRelief.framework/Resources/eyereliefd                                                                                                       
22064   /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service                                                                             
22066   /usr/libexec/airplayd                                                                                                                                                            
22100   /System/Library/Frameworks/HealthKit.framework/healthd                                                                                                                           
22107   /System/Library/CoreServices/BluetoothUIService.app/BluetoothUIService                                                                                                           
22152   /System/Library/PrivateFrameworks/DragUI.framework/Support/druid                                                                                                                 
22189   /System/Library/PrivateFrameworks/OmniSearch.framework/searchtoold                                                                                                               
22190   /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AudioConverterService.xpc/AudioConverterService                                                                    
22239   /usr/libexec/riskdatad                                                                                                                                                           
22501   /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Support/siriactionsd                                                                                                  
22606   /System/Library/CoreServices/CarPlay.app/CarPlay                                                                                                                                 
22714   /usr/libexec/caraccessoryd                                                                                                                                                       
22718   /System/Library/PrivateFrameworks/FaceTimeMessageStore.framework/facetimemessagestored                                                                                           
22736   /System/Library/PrivateFrameworks/NanoPreferencesSync.framework/nanoprefsyncd                                                                                                    
22817   /usr/libexec/diskarbitrationd                                                                                                                                                    
22997   /usr/libexec/findmylocated                                                                                                                                                       
23000   /System/Library/CoreServices/osanalyticshelper                                                                                                                                   
23047   /usr/libexec/ospredictiond                                                                                                                                                       
23241   /System/Library/PrivateFrameworks/NanoPassKit.framework/NPKCompanionAgent                                                                                                        
23244   /System/Library/PrivateFrameworks/PassKitCore.framework/passd                                                                                                                    
23246   /Applications/WidgetRenderer_Default.app/WidgetRenderer_Default                                                                                                                  
23485   /usr/libexec/avconferenced                                                                                                                                                       
23601   /System/Library/PrivateFrameworks/AssistantServices.framework/assistant_service                                                                                                  
